대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
전기설비,전기공사업,15084,주식회사 기림,장인철,경기도 고양시 덕양구 무원로6번길,서울-03471,1460761000,,,,,,
전기설비,전기공사업,19309,주식회사 기림,김영희,경상남도 밀양시 초동면,서울-02946,857751000,,,,,,
전기설비,전기공사업,3112,기림엔지니어링(주),이성근,경상북도 포항시 남구 효성로,경북-01083,6466618000,,,,,,
전기설비,전기공사업,2459,(주)기림피앤씨,양혜영,경기도 화성시 효행구 매송면,서울-02199,7648213000,,,,,,
전기설비,전기공사업,3525,기립전기 주식회사,변희정,경기도 성남시 분당구 석운로164번길,서울-00151,5850306000,,,,,,
전기설비,전기공사업,2922,기마테크 주식회사,이정학,경기도 포천시 호국로964번길,경기-00184,6774531000,,,,,,
전기설비,전기공사업,18445,주식회사 기명,허욱,울산광역시 울주군 범서읍 천상3길 7,울산-00891,997187000,,,,,,
전기설비,전기공사업,8379,합자회사 기명이아이티,손규진,경상북도 경산시 남방1길,경북-00422,2777477000,,,,,,
전기설비,전기공사업,4262,(합)기명전기소방,김봉선,경상남도 진주시 도동로248번길,경남-01146,4980136000,,,,,,
전기설비,전기공사업,9937,주식회사 기명전력,김봉선,전북특별자치도 고창군 상하면 상하로,광주-00818,2358677000,,,,,,
전기설비,전기공사업,810,기민전자 주식회사,류상원,경상북도 구미시 1공단로10길,경북-01780,16550953000,,,,,,
전기설비,전기공사업,20789,기봉엔지니어링 주식회사,박일순,전남광주통합특별시 나주시 사격장길,전남-02254,409862000,,,,,,
전기설비,전기공사업,11553,주식회사 기봉이엔지,박수현,"세종특별자치시 나성북로 30,",전남-01857,2038624000,,,,,,
전기설비,전기공사업,11382,주식회사 기쁨산업,김승희,"강원특별자치도 횡성군 횡성읍 횡성로 68,",충북-01041,2070961000,,,,,,
전기설비,전기공사업,8985,기산전기공사,권혁명,충청북도 충주시 봉방1길,충북-00303,2608310000,,,,,,
전기설비,전기공사업,8646,(주)기산전력,김옥영,강원특별자치도 정선군 정선읍 녹송8길,강원-00290,2700538000,,,,,,
전기설비,전기공사업,7438,기산전설 주식회사,장수환,충청북도 단양군 대강면 두음4길,충북-00740,3090249000,,,,,,
전기설비,전기공사업,18895,주식회사 기선,추수정,경기도 양평군 단월면 수미길26번길,경기-02608,930070000,,,,,,
전기설비,전기공사업,1254,주식회사 기선전력,서상현 외1명,전북특별자치도 익산시 오산면 장항길,대전-00300,12211738000,,,,,,
전기설비,전기공사업,10553,주식회사 기선전력공사,박정우,인천광역시 미추홀구  한나루로,인천-01286,2223252000,,,,,,
전기설비,전기공사업,6601,(유)기성,임선희,전북특별자치도 부안군 행안면 옥여길,전북-00437,3426905000,,,,,,
