대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
소방설비,소방시설공사업,5274.0,이성씨엔아이 주식회사,박기선,부산,2020-02-00646,780400,,,,,,
소방설비,소방시설공사업,5275.0,에이스방재 주식회사,윤석찬,세종,2021-02-00547,779400,,,,,,
소방설비,소방시설공사업,5276.0,주식회사 국보전력,박영옥,충남,2021-02-00001,779300,,,,,,
소방설비,소방시설공사업,5277.0,광명전기,이정희,경북,2018-02-00359,778900,,,,,,
소방설비,소방시설공사업,5278.0,주식회사 대한소방,오나영,강원,2023-02-00105,778500,,,,,,
소방설비,소방시설공사업,5279.0,세기소방(주),박정규,서울,2018-02-00335,778400,,,,,,
소방설비,소방시설공사업,5280.0,주식회사 제이디기업,백민기,제주,2022-02-00230,778400,,,,,,
소방설비,소방시설공사업,5281.0,세진전력 주식회사,박종민,충북,2018-02-00526,778100,,,,,,
소방설비,소방시설공사업,5282.0,제이모듈 주식회사,윤희정,서울,2025-02-00193,777800,,,,,,
소방설비,소방시설공사업,5283.0,수도전기(주),이인식,경기(북),경기일산제2005-4호,777700,,,,,,
소방설비,소방시설공사업,5284.0,(주)덕민전기,최영료,부산,2019-02-00416,777500,,,,,,
소방설비,소방시설공사업,5285.0,(주)대원소방,이원석,경기(북),경기파주제2014-2호,776800,,,,,,
소방설비,소방시설공사업,5286.0,(주)성우전력,박길수,경기(남),경기수원 제2009-102호,775500,,,,,,
소방설비,소방시설공사업,5287.0,(주)성진이엔지,조윤미,경기(남),2017-02-00574,775500,,,,,,
소방설비,소방시설공사업,5288.0,(주)대영소방,이상은,대구,2020-02-00222,775200,,,,,,
소방설비,소방시설공사업,5289.0,(주)삼일소방,조경희,울산,2015-02-00343,775100,,,,,,
소방설비,소방시설공사업,5290.0,(주)한주소방,문성환,부산,2016-02-00686,775100,,,,,,
소방설비,소방시설공사업,5291.0,장원테크 주식회사,이종훈,세종,2019-02-00574,775100,,,,,,
소방설비,소방시설공사업,5292.0,가온건설전기,한재은,인천,2021-02-00284,774600,,,,,,
소방설비,소방시설공사업,5293.0,주식회사 제이엠이에스,이영훈,경남,2020-02-00557,774200,,,,,,
소방설비,소방시설공사업,5294.0,주식회사 신진아이티,이숙희,전남,2025-02-00144,773900,,,,,,
소방설비,소방시설공사업,5295.0,제이에스이엔지(주),오석환,부산,2019-02-00380,773500,,,,,,
소방설비,소방시설공사업,5296.0,주식회사 신동아이엠에스,박하석,충남,제2013-1호,773100,,,,,,
소방설비,소방시설공사업,5297.0,(주)현진기계건설,남창현,강원,제227호,772500,,,,,,
소방설비,소방시설공사업,5298.0,(주)제철공무,안우정,전남,제2004-15호,772000,,,,,,
소방설비,소방시설공사업,16.0,(주)청천전설,김태중,서울,제종로2006-4호,771900,,,,,,
소방설비,소방시설공사업,5299.0,주식회사 마한전력공사,소춘오,전북,2021-02-00358,771900,,,,,,
소방설비,소방시설공사업,5300.0,(주)가인전력,장복남,인천,인천공단제2015-6호,771700,,,,,,
소방설비,소방시설공사업,5301.0,주식회사 한보테크,강형주,경북,2015-02-00045,771600,,,,,,
소방설비,소방시설공사업,5302.0,(주)영도,정회용,경기(남),경기화성 제2009-6호,770600,,,,,,
소방설비,소방시설공사업,5303.0,주식회사 대광전기,김주영,경기(남),2022-02-00249,770400,,,,,,
소방설비,소방시설공사업,5304.0,주식회사 인성전력,이명희,전남,2020-02-00346,770300,,,,,,
소방설비,소방시설공사업,5305.0,성도프랜트(주),이종기,서울,2017-02-00355,770100,,,,,,
소방설비,소방시설공사업,5306.0,주식회사 세명기업,조일란,경북,2017-02-00248,768700,,,,,,
소방설비,소방시설공사업,5307.0,(주)세종방재,김은경,부산,제2000-2호,768300,,,,,,
소방설비,소방시설공사업,5308.0,코스믹전기통신(주),이종현,서울,제용산 1999-3호,768200,,,,,,
소방설비,소방시설공사업,5309.0,(주)도민소방설비,이한욱,강원,제277호,768200,,,,,,
소방설비,소방시설공사업,5310.0,동명전기 주식회사,임선기,경기(남),2021-02-00614,768100,,,,,,
소방설비,소방시설공사업,5311.0,(주)영일전설,이정우,경기(남),2019-02-00077,768000,,,,,,
소방설비,소방시설공사업,5312.0,엘티스 주식회사,윤석순,경기(남),2017-02-00226,767500,,,,,,
소방설비,소방시설공사업,5313.0,(주)한남전기공사,최해선,경남,경남함양제2014-01호,767200,,,,,,
소방설비,소방시설공사업,5314.0,(주)대동전기,전상선,전남,제2002-7호,767000,,,,,,
소방설비,소방시설공사업,5315.0,주식회사 도원방재,김길주,세종,2022-02-00061,766900,,,,,,
소방설비,소방시설공사업,5316.0,주식회사 한일공무,이영섭,경기(남),2021-02-00255,766800,,,,,,
소방설비,소방시설공사업,5317.0,세원전기(주),임은철,충남,2016-02-00509,766000,,,,,,
소방설비,소방시설공사업,5318.0,(주)도솔방재,김순아,경기(남),경기분당 제2005-13호,765700,,,,,,
소방설비,소방시설공사업,5319.0,주식회사 제광기업,제태환,전북,2024-02-00237,765500,,,,,,
소방설비,소방시설공사업,5320.0,주식회사 건창,임준엽,세종,2021-02-00517,765500,,,,,,
소방설비,소방시설공사업,5321.0,소방더위 주식회사,이영화,경남,2018-02-00448,765500,,,,,,
소방설비,소방시설공사업,5322.0,주식회사 드림방재,김완제,대전,2021-02-00166,764500,,,,,,
소방설비,소방시설공사업,5323.0,대성산업씨엔에스(주),박태엽,서울,2016-02-00152,764500,,,,,,
